Name,Address,Hours (comma seperated),by appt. y/n,Website,Facebook page,Email
33 Contemporary Gallery/ Zhou B Art Center,"1029 W 35th St, Chicago, IL 60609",Mon-Fri 10AM-5PM,n,www.33contemporary.com,https://www.facebook.com/artnxtlevelprojects/,
4th Ward Project Space,"5338 S Kimbark Ave, Chicago, IL 60615",Sat 1PM-5PM,y,http://www.4wps.org/,,info@4wps.org
6018 North,"6018 N Kenmore Ave, Chicago, IL 60660",Sat & Sun 12PM-5PM,n,http://www.6018north.org/,,6018north@gmail.com
65Grand,"1369 W Grand Ave, Chicago, IL ",Fri & Sat 12PM- 5:30PM,n,http://www.65grand.com/,,info@65grand.com
ACRE Projects,"1345 W 19th St, Chicago, IL 60608",Sun 12PM-4PM,n,http://www.acreresidency.org/acre-projects/,,info@acreresidency.org
Addington Gallery,"704 N Wells Chicago, IL 60654",Tue-Sat 11AM-6PM,n,addingtongallery.com,https://www.facebook.com/AddingtonGallery/,dan@addingtongallery.com
Adds Donna,,,,http://addsdonna.com/exhibitions/,,contact@addsdonna.com
AdventureLand Gallery,"1513 N Western Ave, Chicago IL 60622",Tues-Sat 11AM-5PM,n,http://www.adventurelandgallery.com/,,adventurelandgallery@gmail.com
Alan Koppel Gallery,"806 N Dearborn St, Chicago, IL 60610",Mon-Fri 10AM-5:30PM,n,alankoppel.com,https://www.facebook.com/alankoppelgallery/,alankoppel@alankoppel.com
Alibi Fine Art,"4426 N Ravenswood Ave, Chicago, IL 60640",appt only,y,www.alibifineart.com,https://www.facebook.com/Alibi.fine.art,info@alibifineart.com
Andrew Bae Gallery,"300 W Superior St, Chicago Il 60654",Tues-Sat 10AM-6PM,n,www.andrewbaegallery.com,https://www.facebook.com/andrewbaegallery/,info@andrewbaegallery.com
Andrew Rafacz Gallery,"835 W Washington Blvd, Chicago, IL 60607","Tue-Fri 11AM-6PM, Sat 11AM-5PM",n,www.andrewrafacz.com,https://www.facebook.com/andrewrafaczgallery/,mail@andrewrafacz.com
Ann Nathan Gallery,"212 W Superior St, Chicago, IL 60654","Tue-Fri 10AM-5:30PM, Sat 11AM-5PM",n,http://www.annnathangallery.com/,https://www.facebook.com/Ann-Nathan-Gallery-108748352582544/,nathangall@aol.com
Antena,"1765 S Laflin St, Chicago IL 60608",appt. only,y,http://antenapilsen.blogspot.com/,https://www.facebook.com/antenapilsen/,antenapilsen@gmail.com
Arc Gallery,"2156 N Damen Ave, Chicago, IL ","Wed-Sat 12PM-6PM, Sun 12PM-4PM",n,www.arcgallery.org,https://www.facebook.com/ARCGalleryChicago,info@arcgallery.org
Art Institute Chicago,"111 S Michigan Ave, Chicago, IL 60605","Sun-Sat 10:30AM-5PM, Thur 10:30AM-8PM",n,www.artic.edu,https://www.facebook.com/artic/,
Arts and Public Life - Arts Incubator,"301 E Garfield Blvd, Chicago, IL 60637","Tues-Fri 12PM-6PM , Thurs 12PM-7PM",n,https://arts.uchicago.edu/artsandpubliclife,https://www.facebook.com/UChicagoArts,roniamh@uchicago.edu
Arts Club,"201 E Ontario St, Chicago, IL 60611","Tue-Fri 11AM-6PM, Sat 11AM-3PM",n,www.artsclubchicago.com,https://www.facebook.com/ArtsClubChicago,information@artsclubchicago.com
Aspect Ratio,"119 N Peoria St, Unit 3D, Chicago, IL 60607",Thur-Sat 12PM-5PM,y&n,http://www.aspectratioprojects.com/home,https://www.facebook.com/aspectratioprojects,info@aspectratioprojects.com
Ballroom Projects,"3012 S Archer Ave, Chicago, IL 60608",,,http://ballroomprojects.tumblr.com/,,thearcherballroom@gmail.com
Barbara & Barbara,"2925 W Diversey Ave, Chicago, IL 60647","Sun 10AM-6PM, Mon 3PM-9PM, Tues-Sat 9AM-9PM",n,http://barbaraandbarbara.com/,www.facebook.com/BarbaraandBarbaraSalon,Appointments@BarbaraandBarbara.com
Beautiful,"1801 S Peoria St Chicago, IL US",appt. only,y,http://beautifulgallery.us/,,beautiful.gallery.us@gmail.com
Beverly Arts Center,"2407 W 111th St, Chicago, IL 60655","Mon-Fri 9AM-9PM, Sat 9AM-5PM, Sun 1PM-4Pm",n,www.beverlyartcenter.org,https://www.facebook.com/Beverly-Arts-Center-136987280893/?ref=ts,bac@beverlyartcenter.org
Born Nude,"1711 S Halsted St, #2, Chicago, IL 60608-2329",appt. only,y,http://bornnu.de/,https://www.facebook.com/pages/Born-Nude/369477823206250,info@bornnu.de
Boy Friends,"3039 W Carroll St, Chicago, IL 60612",Sun 1PM-4PM,n,http://boyfriendschicago.com/,,boyfriendschicago@gmail.com
Bridgeport Art Center,"1200 W 35th St, Chicago, IL 60609",Mon-Sun 8AM-6PM,n,www.bridgeportart.com,https://www.facebook.com/bridgeporart,info@bridgeportart.com
CALLES Y SUEÑOS-CHICAGO,,,,,https://www.facebook.com/Calles-y-Sue%C3%B1os-Chicago-187333291316188/,Try contacting through Facebook
