"object_id","term_taxonomy_id","term_order"
"1","2","0"
"2","2","0"
"3","2","0"
"4","2","0"
"5","2","0"
"6","2","0"
"7","2","0"
"9755","979","0"
"28","6","0"
"15","3","0"
"15","4","0"
"15","5","0"
"28","5","0"
"28","7","0"
"37","10","0"
"34","8","0"
"34","9","0"
"34","5","0"
"37","5","0"
"37","11","0"
"60","15","0"
"52","12","0"
"52","7","0"
"52","5","0"
"55","13","0"
"55","7","0"
"55","5","0"
"58","14","0"
"58","11","0"
"58","5","0"
"60","5","0"
"60","7","0"
"105","20","0"
"85","16","0"
"85","17","0"
"85","5","0"
"88","18","0"
"88","19","0"
"88","5","0"
"105","5","0"
"105","21","0"
"117","7","0"
"117","5","0"
"117","22","0"
"119","23","0"
"119","5","0"
"119","7","0"
"131","26","0"
"122","24","0"
"122","21","0"
"122","5","0"
"127","25","0"
"127","8","0"
"127","5","0"
"131","5","0"
"131","7","0"
"151","31","0"
"135","27","0"
"135","28","0"
"135","29","0"
"138","27","0"
"138","28","0"
"138","29","0"
"151","30","0"
"151","32","0"
"63","31","0"
"155","31","0"
"155","32","0"
"155","33","0"
"25","17","0"
"25","34","0"
"25","5","0"
"40","35","0"
"40","36","0"
"40","5","0"
"48","37","0"
"48","38","0"
"48","5","0"
"63","39","0"
"63","32","0"
"102","42","0"
"99","40","0"
"99","41","0"
"99","5","0"
"102","5","0"
"102","21","0"
"189","37","0"
"110","43","0"
"110","42","0"
"110","44","0"
"110","5","0"
"125","45","0"
"125","46","0"
"125","5","0"
"169","47","0"
"169","48","0"
"169","5","0"
"180","49","0"
"180","36","0"
"180","5","0"
"184","50","0"
"184","17","0"
"184","5","0"
"189","39","0"
"189","51","0"
"243","62","0"
"200","52","0"
"200","17","0"
"200","53","0"
"207","8","0"
"207","56","0"
"207","54","0"
"207","55","0"
"217","43","0"
"217","44","0"
"217","57","0"
"217","5","0"
"236","58","0"
"236","59","0"
"236","5","0"
"240","60","0"
"240","37","0"
"240","5","0"
"243","61","0"
"243","36","0"
"248","27","0"
"248","39","0"
"248","63","0"
"256","65","0"
"256","64","0"
"256","7","0"
"113","72","0"
"72","66","0"
"72","67","0"
"72","5","0"
"93","68","0"
"93","69","0"
"93","70","0"
"93","5","0"
"113","71","0"
"113","73","0"
"147","31","0"
"147","30","0"
"147","32","0"
"197","10","0"
"174","74","0"
"174","21","0"
"174","5","0"
"193","75","0"
"193","17","0"
"193","5","0"
"197","5","0"
"197","11","0"
"230","72","0"
"221","18","0"
"221","76","0"
"221","53","0"
"223","18","0"
"223","76","0"
"223","5","0"
"230","30","0"
"230","54","0"
"230","33","0"
"230","73","0"
"338","38","0"
"246","77","0"
"246","31","0"
"246","39","0"
"254","4","0"
"254","78","0"
"254","5","0"
"323","79","0"
"323","80","0"
"323","81","0"
"323","44","0"
"323","82","0"
"325","31","0"
"325","83","0"
"325","82","0"
"333","37","0"
